Date : 2024-10-18 16:41:44
Directory : c:\Users\User\dev\Meeting-App\HaMeetz
Total : 228 files,  36772 codes, 13155 comments, 12873 blanks, all 62800 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.2046652643a68281.hot-update.js                      | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.3b9352a00b5818e4.hot-update.js                      | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.657da38d014ed1d4.hot-update.js                      | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.8016926dcc4ac1ad.hot-update.js                      | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\app\layout.dbe7cc5ae3dd2f35.hot-update.js                      | JavaScript         |          7 |         11 |          4 |         22 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\dbe7cc5ae3dd2f35.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\f297dc8fa84f1710.webpack.hot-update.json                       | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.0fb1b548b8b478ef.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.2046652643a68281.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.2baeb94d67ee1f83.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.3b9352a00b5818e4.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.657da38d014ed1d4.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.8016926dcc4ac1ad.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.8a7963cfd491991b.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.9a846cf59305c18f.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.dbe7cc5ae3dd2f35.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\static\webpack\webpack.f297dc8fa84f1710.hot-update.js                         | JavaScript         |          9 |          9 |          0 |         18 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\layout.ts                                             | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\page.ts                                               | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\personal-room\page.ts                                 | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\previous\page.ts                                      | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\recordings\page.ts                                    | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\(home)\upcoming\page.ts                                      | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\(root)\layout.ts                                                    | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\app\layout.ts                                                           | TypeScript         |         52 |         10 |         18 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\.next\types\package.json                                                            | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\README.md                                                                           | Markdown           |          3 |          0 |          0 |          3 |
| c:\Users\User\dev\Meeting-App\HaMeetz\actions\stream.actions.ts                                                           | TypeScript         |         16 |          0 |          9 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(auth)\sign-in\[[...sigin-in]]\page.tsx                                         | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(auth)\sign-up\[[...sign-up]]\page.tsx                                          | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\layout.tsx                                                        | TypeScript JSX     |         22 |          0 |          7 |         29 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\page.tsx                                                          | TypeScript JSX     |         20 |          0 |          6 |         26 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\personal-room\page.tsx                                            | TypeScript JSX     |         73 |          0 |         14 |         87 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\previous\page.tsx                                                 | TypeScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\recordings\page.tsx                                               | TypeScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\(home)\upcoming\page.tsx                                                 | TypeScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\layout.tsx                                                               | TypeScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\(root)\meeting\[id]\page.tsx                                                    | TypeScript JSX     |         38 |          1 |         11 |         50 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\globals.css                                                                     | CSS                |         87 |          4 |         22 |        113 |
| c:\Users\User\dev\Meeting-App\HaMeetz\app\layout.tsx                                                                      | TypeScript JSX     |         44 |          0 |          5 |         49 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components.json                                                                     | JSON               |         17 |          0 |          0 |         17 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\Alert.tsx                                                                | TypeScript JSX     |         32 |          0 |          6 |         38 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\CallList.tsx                                                             | TypeScript JSX     |         97 |          0 |         14 |        111 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\EndCallButton.tsx                                                        | TypeScript JSX     |         29 |          1 |         11 |         41 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\HomeCard.tsx                                                             | TypeScript JSX     |         30 |          0 |          7 |         37 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\Loader.tsx                                                               | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingCard.tsx                                                          | TypeScript JSX     |         61 |         24 |          7 |         92 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingModal.tsx                                                         | TypeScript JSX     |         68 |          0 |          4 |         72 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingRoom.tsx                                                          | TypeScript JSX     |         92 |          2 |         10 |        104 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingSetup.tsx                                                         | TypeScript JSX     |         78 |          2 |         12 |         92 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\MeetingTypeList.tsx                                                      | TypeScript JSX     |        166 |          1 |         13 |        180 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\MobileNav.tsx                                                            | TypeScript JSX     |         68 |          0 |          7 |         75 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\Navbar.tsx                                                               | TypeScript JSX     |         29 |          0 |          5 |         34 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\Sidebar.tsx                                                              | TypeScript JSX     |         41 |          0 |          6 |         47 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\button.tsx                                                            | TypeScript JSX     |         53 |          0 |          6 |         59 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\card.tsx                                                              | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\dialog.tsx                                                            | TypeScript JSX     |        109 |          0 |         14 |        123 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\dropdown-menu.tsx                                                     | TypeScript JSX     |        182 |          0 |         19 |        201 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\input.tsx                                                             | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\popover.tsx                                                           | TypeScript JSX     |         25 |          0 |          7 |         32 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\sheet.tsx                                                             | TypeScript JSX     |        128 |          0 |         16 |        144 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\textarea.tsx                                                          | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\toast.tsx                                                             | TypeScript JSX     |        116 |          0 |         14 |        130 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\toaster.tsx                                                           | TypeScript JSX     |         36 |          0 |          4 |         40 |
| c:\Users\User\dev\Meeting-App\HaMeetz\components\ui\use-toast.ts                                                          | TypeScript         |        160 |          3 |         32 |        195 |
| c:\Users\User\dev\Meeting-App\HaMeetz\constants\index.ts                                                                  | TypeScript         |         34 |          0 |          3 |         37 |
| c:\Users\User\dev\Meeting-App\HaMeetz\hooks\useGetCallById.ts                                                             | TypeScript         |         22 |          1 |          9 |         32 |
| c:\Users\User\dev\Meeting-App\HaMeetz\hooks\useGetCalls.ts                                                                | TypeScript         |         41 |          1 |         10 |         52 |
| c:\Users\User\dev\Meeting-App\HaMeetz\lib\utils.ts                                                                        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\User\dev\Meeting-App\HaMeetz\middleware.ts                                                                       | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\User\dev\Meeting-App\HaMeetz\next-env.d.ts                                                                       | TypeScript         |          0 |          4 |          2 |          6 |
| c:\Users\User\dev\Meeting-App\HaMeetz\next.config.mjs                                                                     | JavaScript         |         11 |          1 |          2 |         14 |
| c:\Users\User\dev\Meeting-App\HaMeetz\package-lock.json                                                                   | JSON               |      6,687 |          0 |          1 |      6,688 |
| c:\Users\User\dev\Meeting-App\HaMeetz\package.json                                                                        | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\User\dev\Meeting-App\HaMeetz\postcss.config.js                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\User\dev\Meeting-App\HaMeetz\providers\StreamClientProvider.tsx                                                  | TypeScript JSX     |         28 |          0 |         11 |         39 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\HaMeetz-logo.svg                                                       | XML                |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\Home.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\Video.svg                                                              | XML                |          4 |          0 |          1 |          5 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\add-meeting.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\add-personal.svg                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\call-ended.svg                                                         | XML                |          6 |          1 |          5 |         12 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\checked.svg                                                            | XML                |          9 |          0 |          1 |         10 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\copy.svg                                                               | XML                |          4 |          0 |          1 |          5 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\hamburger.svg                                                          | XML                |          5 |          0 |          0 |          5 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\join-meeting.svg                                                       | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\loading-circle.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\logo.svg                                                               | XML                |          1 |          0 |          0 |          1 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\play.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\previous.svg                                                           | XML                |          5 |          0 |          1 |          6 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\recordings.svg                                                         | XML                |          4 |          0 |          1 |          5 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\schedule.svg                                                           | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\share.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\three-dots.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| c:\Users\User\dev\Meeting-App\HaMeetz\public\icons\upcoming.svg                                                           | XML                |          5 |          0 |          1 |          6 |
| c:\Users\User\dev\Meeting-App\HaMeetz\tailwind.config.ts                                                                  | TypeScript         |         66 |          0 |          3 |         69 |
| c:\Users\User\dev\Meeting-App\HaMeetz\tsconfig.json                                                                       | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                                     |                    |     36,772 |     13,155 |     12,873 |     62,800 |
+---------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
